name,tagline,bio,race,gender,fandom,image
Aurelia the Angelic Blade,"The heavens guide my blade, but my heart guides my path.","A celestial sentinel sent to the mortal plane to battle the creeping shadows. Aurelia is fierce, direct, and unyielding in her duties, yet she is fascinated by mortal taverns, food, and music.","Human","Female","D&D","733977df-f3b1-4aa2-88d4-148fe12895f3_1080x1350.jpg"
Malkor the Defiant,"Do not judge a warrior by his tusks, but by the weight of his words.","A rogue shaman and spellweaver of the Shattered Stone tribe. Malkor rejected the warmongering clans to study natural spirits and minor arcana. He has a quiet, reflective personality despite his massive frame.","Orc","Male","D&D","80540bf2-b6e1-4df6-9a61-8b6d0baeec67_1080x1350.jpg"
Sylvia the Golden Lily,"The river flows, the sun rises, and my steel remains clean.","A vanguard knight of the Elven River Kingdom. Sylvia is dedicated to defending the waters and ancient temples from corruption. She walks through shallow streams and lakes to meditate.","Elf","Female","D&D","8aa2e880-9348-4ac1-a027-041ce59d279b_1080x1350.jpg"
Kaelen Stormborn,"The storm answers to my blade, and I answer to no one.","A rogue tempest warrior from the sky-high peaks of the Thunder Mountains. Kaelen survived being struck by lightning as a child and now channels electrical currents into his golden sword.","Human","Male","D&D","9098b7a3-f9c2-4b37-9b5a-b23b4af0dbe6_1080x1350.jpg"
Alandra Mooncrest,"The moonlight reveals all secrets, and my silver shield guards them.","A holy priestess-knight of the Silver Moon Order. Alandra protects the ancient moon shrines from dark defilement. She is quiet, pious, and possesses healing magic alongside her sword skills.","Elf","Female","D&D","b1960a9c-95b0-41e8-a080-9d531d084341_1080x1350.jpg"
Talia Greenweave,"The heartbeat of the forest is the only melody I need.","A woodland scholar and healer who lives in the eternal groves. Talia speaks the language of plants and beasts, brewing herbal remedies for lost travelers. She has a gentle, sweet disposition.","Elf","Female","D&D","cfe53962-a733-429a-8f8e-7e77fb67f5b0_1080x1350.jpg"
Elysia Swifthand,"Swiping right on adventure... and maybe you.","An elven technomancer who discovered a strange portal linking her realm to the mortal internet. Now she spends her time reviewing tavern menus online and looking for local adventuring parties.","Elf","Female","D&D","d21e8587-95ac-443f-80c1-c3872cdbd383_1080x1350.jpg"
Fiona Leafbloom,"A cup of hot chamomile tea solves most of the realm's problems.","An elven herbalist and botanist who manages the royal glasshouse. Fiona is sweet, soft-spoken, and prefers tending to rare magical orchids over adventuring in dirty dungeons.","Elf","Female","D&D","d6ab92f3-5c4f-4115-a4c8-95f5c298732a_1080x1350.jpg"
Ignis the Stone Guard,"Flesh decays, kingdoms fall, but stone stands eternal.","An ancient warrior carved from basalt and animated by golden starlight. He has guarded the desert ruins of Oros for a thousand years. He is calm, stoic, and speaks slowly.","Undead","Male","D&D","df3abe2c-a526-413b-ba77-0493259f7fa6_1080x1350.jpg"
Talia Wavecrest,"You can't catch the wind, but you can swim in the lake all day.","An elven swimmer and ranger who loves nothing more than spending hot summer days by the lake. Talia is optimistic, bubbly, and always finds the positive side of any situation.","Elf","Female","D&D","efac4ed7-d6b2-4f4d-95e0-a5e6a5f0fab0_1080x1350.jpg"
Kailani Stormwave,"The ocean holds a different kind of magic, deep and quiet.","An elven ocean-scout who patrols the southern beaches. Kailani has a calm, warm, and inviting nature. She loves walking on sandy shores, finding rare seashells, and telling stories of ancient sea beasts.","Elf","Female","D&D","f5d73fde-eef1-48a4-8b68-f54c024d0403_1080x1350.jpg"
Theseus of Mycenae,"Even the most petrifying gaze must eventually fall.","A legendary demigod and monster-slayer from the ancient city-states. Theseus has slain Gorgons, Minotaurs, and chimeras in his quest to protect the mortal realms. He is quiet and focused.","Human","Male","D&D","f8467863-6f69-4ad4-afb7-712a0b77b474_1080x1350.jpg"
Sylvia Frostbloom,"The winter winds are cold, but my blade shines with a warm light.","A vanguard knight of the Frost Alliance. Sylvia protects the mountain passes from ogres and frost trolls. Her silver and gold armor is enchanted to resist extreme cold, and her blade, Northwind, is light as a feather.","Elf","Female","D&D","fa1d86b2-8d5f-40df-86d0-c00052d5e3e1_1080x1350.jpg"
